ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
209835_x_at	0.0000325	1.46e-09	-6.25193	11.1545	-0.7010262	CD44	CD44 molecule (Indian blood group)
212014_x_at	0.0000979	8.79e-09	-5.9275111	9.52682	-0.72646778	CD44	CD44 molecule (Indian blood group)
204490_s_at	0.000461	6.21e-08	-5.5585645	7.75719	-0.49282517	CD44	CD44 molecule (Indian blood group)
209380_s_at	0.0006984	1.25e-07	5.4213416	7.12193	0.53731204	ABCC5	ATP binding cassette subfamily C member 5
209831_x_at	0.0013384	3.30e-07	-5.2282878	6.24984	-0.26667796	DNASE2	deoxyribonuclease 2, lysosomal
204489_s_at	0.0013384	4.14e-07	-5.1817896	6.04363	-0.56195882	CD44	CD44 molecule (Indian blood group)
203218_at	0.0013384	4.20e-07	5.1787806	6.03034	0.46912087	MAPK9	mitogen-activated protein kinase 9
205322_s_at	0.001722	6.18e-07	-5.0996642	5.68311	-0.48664644	MTF1	metal regulatory transcription factor 1
210916_s_at	0.0020453	8.26e-07	-5.0395525	5.42223	-0.55015138	CD44	CD44 molecule (Indian blood group)
211868_x_at	0.0048075	2.16e-06	-4.8363748	4.5595	-0.96972347	IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHD///IGHA2///IGHA1///IGH	immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
203429_s_at	0.0054444	3.08e-06	4.7596738	4.24155	0.42209648	SUCO	SUN domain containing ossification factor
202324_s_at	0.0054444	3.11e-06	4.7569729	4.23043	0.31974172	ACBD3	acyl-CoA binding domain containing 3
202630_at	0.0054444	3.18e-06	4.7526191	4.21252	0.46033198	APPBP2	amyloid beta precursor protein binding protein 2
214777_at	0.0057712	3.63e-06	-4.7236809	4.09382	-1.62101878	IGKC	immunoglobulin kappa constant
218478_s_at	0.0059503	4.10e-06	4.6967797	3.98403	0.28755875	ZCCHC8	zinc finger CCHC-type containing 8
218085_at	0.0059503	4.27e-06	4.6876227	3.94678	0.37278443	CHMP5	charged multivesicular body protein 5
218988_at	0.0060668	4.95e-06	4.6552642	3.81564	0.57736853	SLC35E3	solute carrier family 35 member E3
202543_s_at	0.0060668	5.09e-06	4.6490361	3.79049	0.41037692	GMFB	glia maturation factor beta
212900_at	0.0060668	5.17e-06	4.6453258	3.77552	0.31264028	SEC24A	SEC24 homolog A, COPII coat complex component
216365_x_at	0.0070749	6.35e-06	-4.5996416	3.59203	-1.34073378	IGLJ3///CKAP2	immunoglobulin lambda joining 3///cytoskeleton associated protein 2
217157_x_at	0.0073483	7.43e-06	-4.5644189	3.45161	-1.02287955	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
216984_x_at	0.0073483	7.46e-06	-4.5634404	3.44772	-1.48201364	IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1	immunoglobulin lambda joining 3///immunoglobulin lambda variable 1-44///cytoskeleton associated protein 2///immunoglobulin lambda variable cluster///immunoglobulin lambda constant 1
207996_s_at	0.0073483	7.58e-06	4.5597587	3.4331	0.59719158	LDLRAD4	low density lipoprotein receptor class A domain containing 4
207551_s_at	0.0087784	9.50e-06	-4.5087872	3.23171	-0.28862879	MSL3	male-specific lethal 3 homolog (Drosophila)
217378_x_at	0.0087784	9.85e-06	-4.5006225	3.19964	-1.74095741	IGKV1OR2-108	immunoglobulin kappa variable 1/OR2-108 (non-functional)
217258_x_at	0.009013	1.05e-05	-4.4856775	3.14105	-1.21720446	IGLV1-44	immunoglobulin lambda variable 1-44
217148_x_at	0.0092357	1.14e-05	-4.4681831	3.07268	-1.23692647	IGLJ3///IGLV@///IGLC1	immunoglobulin lambda joining 3///immunoglobulin lambda variable cluster///immunoglobulin lambda constant 1
211302_s_at	0.0092357	1.20e-05	-4.4547482	3.02033	-0.57839791	PDE4B	phosphodiesterase 4B
206833_s_at	0.0092357	1.22e-05	-4.4509529	3.00557	-0.28647721	LOC101927144///ACYP2	uncharacterized LOC101927144///acylphosphatase 2
205926_at	0.0092357	1.30e-05	-4.4363793	2.94898	-0.42920784	IL27RA	interleukin 27 receptor subunit alpha
204999_s_at	0.0092357	1.37e-05	-4.4254495	2.90665	-0.37863174	ATF5	activating transcription factor 5
212149_at	0.0092357	1.40e-05	4.4193565	2.88309	0.36703543	EFR3A	EFR3 homolog A
212473_s_at	0.0092357	1.43e-05	4.4158332	2.86947	0.42450254	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2
211798_x_at	0.0092357	1.45e-05	-4.4115125	2.8528	-1.12998932	IGLJ3	immunoglobulin lambda joining 3
221224_s_at	0.0092357	1.58e-05	-4.3923183	2.77887	-0.67694318	DCAKD	dephospho-CoA kinase domain containing
221434_s_at	0.0092357	1.58e-05	4.392274	2.7787	0.32613802	SLIRP	SRA stem-loop interacting RNA binding protein
209862_s_at	0.0092357	1.59e-05	-4.3900803	2.77027	-0.30772473	CEP57	centrosomal protein 57
202247_s_at	0.0092357	1.64e-05	-4.3829919	2.74305	-0.33764792	MTA1	metastasis associated 1
214669_x_at	0.0092357	1.65e-05	-4.3825782	2.74146	-1.1461239	IGKC	immunoglobulin kappa constant
218787_x_at	0.0092357	1.66e-05	-4.3808495	2.73483	-0.61570296	CWF19L1	CWF19-like 1, cell cycle control (S. pombe)
216207_x_at	0.0095796	1.83e-05	-4.357269	2.6446	-0.94944851	IGKC	immunoglobulin kappa constant
211644_x_at	0.0095796	1.86e-05	-4.3537386	2.63113	-1.51252031	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
215176_x_at	0.0095796	1.89e-05	-4.3505162	2.61884	-1.55461645	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
209681_at	0.0095796	1.93e-05	4.3456538	2.60031	0.5883997	SLC19A2	solute carrier family 19 member 2
212063_at	0.0095796	1.94e-05	-4.344095	2.59437	-0.45348595	CD44	CD44 molecule (Indian blood group)
217523_at	0.0095796	2.01e-05	-4.3364621	2.56533	-0.67655492	CD44	CD44 molecule (Indian blood group)
211919_s_at	0.0095796	2.03e-05	-4.3335056	2.5541	-0.43722183	CXCR4	C-X-C motif chemokine receptor 4
205457_at	0.0095796	2.06e-05	-4.3297306	2.53976	-0.39218487	C6orf106	chromosome 6 open reading frame 106
222077_s_at	0.0095955	2.13e-05	4.3226393	2.51286	0.42955117	RACGAP1	Rac GTPase activating protein 1
218461_at	0.0095955	2.15e-05	4.3197562	2.50193	0.33875691	GPN3	GPN-loop GTPase 3
201764_at	0.0100714	2.31e-05	4.3036981	2.44118	0.38019094	TMEM106C	transmembrane protein 106C
211637_x_at	0.0103595	2.42e-05	-4.2919749	2.39696	-1.31926398	IGHV3-23///IGHV4-31///IGHM///IGHG4///IGHG3///IGHG1///IGHD///IGHA2///IGHA1///IGH	immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 4 (G4m marker)///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
51192_at	0.0103595	2.46e-05	4.2879564	2.38182	0.40674979	SSH3	slingshot protein phosphatase 3
217235_x_at	0.0106112	2.57e-05	-4.2778532	2.34383	-0.92783845	IGLL5	immunoglobulin lambda like polypeptide 5
214730_s_at	0.0110184	2.75e-05	-4.2622223	2.2852	-0.30042691	GLG1	golgi glycoprotein 1
211641_x_at	0.0110184	2.88e-05	-4.2507413	2.24225	-0.72941837	IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA2///IGHA1	immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1
206150_at	0.0110184	2.89e-05	-4.2505265	2.24145	-0.67981957	CD27	CD27 molecule
207085_x_at	0.0110184	2.91e-05	-4.2483807	2.23343	-0.70836082	CSF2RA	colony stimulating factor 2 receptor alpha subunit
215121_x_at	0.0110184	2.92e-05	-4.2478717	2.23153	-1.27939494	CYAT1///IGLV1-44///IGLC1	immunoglobulin lambda light chain-like///immunoglobulin lambda variable 1-44///immunoglobulin lambda constant 1
221825_at	0.0112244	3.05e-05	4.2371128	2.1914	0.29970229	ANGEL2	angel homolog 2
202216_x_at	0.0112244	3.07e-05	-4.2355034	2.18541	-0.31093584	NFYC	nuclear transcription factor Y subunit gamma
208931_s_at	0.0112314	3.13e-05	-4.2314707	2.1704	-0.32599815	ILF3	interleukin enhancer binding factor 3
206644_at	0.011434	3.23e-05	-4.2233693	2.14027	-0.50507302	NR0B1	nuclear receptor subfamily 0 group B member 1
222230_s_at	0.0115056	3.30e-05	4.2181044	2.12072	0.2606839	ACTR10	actin-related protein 10 homolog
212474_at	0.0119505	3.56e-05	4.2004578	2.05536	0.2554125	AVL9	AVL9 cell migration associated
216576_x_at	0.0119505	3.59e-05	-4.1982566	2.04722	-1.35524743	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
203743_s_at	0.0119505	3.59e-05	4.1980033	2.04628	0.31564815	TDG	thymine DNA glycosylase
204540_at	0.0119822	3.71e-05	4.1904437	2.01837	1.06757553	EEF1A2	eukaryotic translation elongation factor 1 alpha 2
200014_s_at	0.0119822	3.71e-05	4.1902895	2.0178	0.19304331	HNRNPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)
64486_at	0.0119834	3.79e-05	4.1849573	1.99813	0.29719896	CORO1B	coronin 1B
216401_x_at	0.0119834	3.86e-05	-4.1807487	1.98263	-1.47581224	MLIP	muscular LMNA-interacting protein
220260_at	0.0119834	3.87e-05	4.1800057	1.9799	0.6693577	TBC1D19	TBC1 domain family member 19
205812_s_at	0.0123682	4.14e-05	4.1639467	1.92087	0.31873126	TMED9	transmembrane p24 trafficking protein 9
210754_s_at	0.0123682	4.23e-05	-4.1586927	1.9016	-0.44190171	LYN	LYN proto-oncogene, Src family tyrosine kinase
35671_at	0.0123682	4.24e-05	4.1578642	1.89857	0.26991325	GTF3C1	general transcription factor IIIC subunit 1
214543_x_at	0.0123682	4.36e-05	-4.1515216	1.87534	-0.43462617	QKI	QKI, KH domain containing RNA binding
207430_s_at	0.0123682	4.37e-05	4.1509625	1.87329	1.33989762	MSMB	microseminoprotein beta
209373_at	0.0123682	4.37e-05	-4.1508086	1.87273	-0.59638545	MALL	mal, T-cell differentiation protein like
218668_s_at	0.0123682	4.43e-05	4.1473292	1.86	0.41047233	RAP2C	RAP2C, member of RAS oncogene family
211068_x_at	0.0123682	4.44e-05	-4.1468547	1.85827	-0.23510304	LOC101930591///FAM21C	uncharacterized LOC101930591///family with sequence similarity 21 member C
218805_at	0.012591	4.58e-05	-4.1394978	1.83139	-0.42353262	GIMAP1-GIMAP5///GIMAP5	GIMAP1-GIMAP5 readthrough///GTPase, IMAP family member 5
213201_s_at	0.0126701	4.66e-05	4.1349888	1.81494	1.27114178	TNNT1	troponin T1, slow skeletal type
32723_at	0.012763	4.77e-05	4.1293072	1.79423	0.2654838	CSTF1	cleavage stimulation factor subunit 1
215214_at	0.012763	4.84e-05	-4.1257935	1.78144	-1.23999665	IGLC1	immunoglobulin lambda constant 1
218842_at	0.012763	4.87e-05	4.1244549	1.77657	0.23760169	RPAP3	RNA polymerase II associated protein 3
209872_s_at	0.0138005	5.33e-05	-4.1024977	1.69686	-0.65922648	PKP3	plakophilin 3
220939_s_at	0.0138434	5.49e-05	4.0949835	1.66967	0.21542946	DPP8	dipeptidyl peptidase 8
211269_s_at	0.0138434	5.51e-05	-4.0943036	1.66721	-0.39085483	IL2RA	interleukin 2 receptor subunit alpha
201769_at	0.0138434	5.58e-05	4.0910473	1.65545	0.26244262	CLINT1	clathrin interactor 1
201039_s_at	0.0138434	5.59e-05	-4.0905901	1.65379	-0.36710634	RAD23A	RAD23 homolog A, nucleotide excision repair protein
204132_s_at	0.0139269	5.69e-05	-4.0864011	1.63867	-0.48774954	FOXO3B///FOXO3	forkhead box O3B pseudogene///forkhead box O3
203331_s_at	0.0145793	6.06e-05	-4.070792	1.58243	-0.36722668	INPP5D	inositol polyphosphate-5-phosphatase D
202596_at	0.0145793	6.14e-05	4.0676167	1.57101	0.30308187	ENSA	endosulfine alpha
207616_s_at	0.0145793	6.18e-05	-4.0658477	1.56466	-0.33067226	TANK	TRAF family member associated NFKB activator
202601_s_at	0.0145793	6.22e-05	-4.0645396	1.55996	-0.88390733	HTATSF1	HIV-1 Tat specific factor 1
211528_x_at	0.0146094	6.29e-05	-4.0614449	1.54884	-0.50064833	HLA-G	major histocompatibility complex, class I, G
205014_at	0.0146425	6.37e-05	-4.0583277	1.53766	-0.594049	FGFBP1	fibroblast growth factor binding protein 1
216226_at	0.0152941	6.76e-05	-4.0438358	1.48576	-0.30185515	TAF4B	TATA-box binding protein associated factor 4b
220892_s_at	0.0152941	6.79e-05	-4.0425063	1.481	-0.5496562	PSAT1	phosphoserine aminotransferase 1
200956_s_at	0.015396	6.91e-05	-4.038369	1.46622	-0.4570058	SSRP1	structure specific recognition protein 1
201134_x_at	0.0154668	7.07e-05	4.0327596	1.4462	0.26639785	COX7C	cytochrome c oxidase subunit 7C
204933_s_at	0.0154668	7.10e-05	-4.0315325	1.44182	-1.07329607	TNFRSF11B	TNF receptor superfamily member 11b
217979_at	0.0154668	7.18e-05	4.0289415	1.43259	0.46449822	TSPAN13	tetraspanin 13
211210_x_at	0.0154668	7.22e-05	-4.0274936	1.42743	-0.5605604	SH2D1A	SH2 domain containing 1A
210396_s_at	0.0157041	7.40e-05	4.0213265	1.40547	0.34700202	SMG1P5///BOLA2///SMG1P2	SMG1P5, nonsense mediated mRNA decay associated PI3K related kinase pseudogene 5///bolA family member 2///SMG1P2, nonsense mediated mRNA decay associated PI3K related kinase pseudogene 2
217281_x_at	0.0157836	7.58e-05	-4.0153994	1.38439	-1.35586606	LOC102725526///IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHA2///IGHA1///IGH	uncharacterized LOC102725526///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
215177_s_at	0.0157836	7.58e-05	-4.0153723	1.3843	-0.97663695	ITGA6	integrin subunit alpha 6
214858_at	0.0158606	7.75e-05	4.0097561	1.36435	1.089849	PP14571	uncharacterized LOC100130449
208624_s_at	0.0158606	7.83e-05	-4.0071166	1.35499	-0.3081427	EIF4G1	eukaryotic translation initiation factor 4 gamma 1
204485_s_at	0.0158606	7.90e-05	4.0051334	1.34795	0.51803293	TOM1L1	target of myb1 like 1 membrane trafficking protein
215832_x_at	0.0158606	7.90e-05	-4.0050057	1.3475	-0.39724762	PICALM	phosphatidylinositol binding clathrin assembly protein
206983_at	0.0161948	8.21e-05	-3.9954919	1.31381	-0.54485914	CCR6	C-C motif chemokine receptor 6
216510_x_at	0.0161948	8.26e-05	-3.9939198	1.30824	-1.13224129	IGHV3-23///IGHV4-31///IGHM///IGHG1///IGHA1	immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant alpha 1
218909_at	0.0161948	8.32e-05	3.9921244	1.3019	0.26257359	RPS6KC1	ribosomal protein S6 kinase C1
211881_x_at	0.0161948	8.42e-05	-3.9889994	1.29085	-0.78432966	IGLJ3	immunoglobulin lambda joining 3
214853_s_at	0.0161948	8.46e-05	3.9877618	1.28648	0.24637818	SHC1	SHC adaptor protein 1
203253_s_at	0.0161948	8.52e-05	3.9861256	1.2807	0.31126547	PPIP5K2	diphosphoinositol pentakisphosphate kinase 2
219972_s_at	0.0161948	8.73e-05	3.9799125	1.25878	0.27507841	PCNX4	pecanex homolog 4 (Drosophila)
218942_at	0.0161948	8.90e-05	3.9752683	1.24242	0.25043583	PIP4K2C	phosphatidylinositol-5-phosphate 4-kinase type 2 gamma
202395_at	0.0161948	8.91e-05	3.9749884	1.24143	0.30428139	LOC101930324///NSF	uncharacterized LOC101930324///N-ethylmaleimide sensitive factor, vesicle fusing ATPase
215949_x_at	0.0161948	8.91e-05	-3.9748901	1.24109	-0.85654705	IGHM	immunoglobulin heavy constant mu
201708_s_at	0.0161948	8.91e-05	-3.9748419	1.24092	-0.34219603	NIPSNAP1	nipsnap homolog 1 (C. elegans)
209034_at	0.0161948	8.94e-05	-3.9740785	1.23823	-0.39950696	PNRC1	proline rich nuclear receptor coactivator 1
211908_x_at	0.0162621	9.05e-05	-3.9710013	1.2274	-0.90396624	IGK	immunoglobulin kappa locus
205267_at	0.0164719	9.26e-05	-3.9651312	1.20676	-0.82400739	POU2AF1	POU class 2 associating factor 1
210386_s_at	0.0164719	9.31e-05	3.963754	1.20192	0.2609321	MTX1	metaxin 1
208452_x_at	0.0166723	9.70e-05	-3.953574	1.1662	-0.31753239	MYO9B	myosin IXB
214746_s_at	0.0166723	9.72e-05	3.9530957	1.16452	0.33253354	ZNF467	zinc finger protein 467
214973_x_at	0.0166723	9.73e-05	-3.9528584	1.16369	-0.86628275	IGHD	immunoglobulin heavy constant delta
212525_s_at	0.0166723	9.73e-05	-3.9528306	1.16359	-0.32494125	H2AFX	H2A histone family member X
213520_at	0.0166891	9.83e-05	3.95024	1.15452	0.91513252	RECQL4	RecQ like helicase 4
207971_s_at	0.0166891	9.98e-05	-3.9462714	1.14062	-0.26963807	CEP68	centrosomal protein 68
215379_x_at	0.0166891	1.01e-04	-3.9437863	1.13193	-1.12325147	IGLV1-44	immunoglobulin lambda variable 1-44
203524_s_at	0.0166891	1.03e-04	-3.9386744	1.11406	-0.25404131	MPST	mercaptopyruvate sulfurtransferase
211634_x_at	0.0166891	1.04e-04	-3.9368803	1.1078	-1.01489067	IGHM	immunoglobulin heavy constant mu
211911_x_at	0.0166891	1.05e-04	-3.9338889	1.09736	-0.52331819	HLA-B	major histocompatibility complex, class I, B
210297_s_at	0.0166891	1.05e-04	3.9326281	1.09296	1.20099701	MSMB	microseminoprotein beta
204552_at	0.0166891	1.06e-04	-3.9308081	1.08661	-0.36274849	INPP4A	inositol polyphosphate-4-phosphatase type I A
221725_at	0.0166891	1.06e-04	-3.9301763	1.08441	-0.24566244	WASF2	WAS protein family member 2
209138_x_at	0.0166891	1.07e-04	-3.9291003	1.08066	-1.13645245	IGLC1	immunoglobulin lambda constant 1
212108_at	0.0166891	1.07e-04	3.9289608	1.08017	0.21412475	FAF2	Fas associated factor family member 2
205320_at	0.0166891	1.07e-04	-3.9289376	1.08009	-0.54735271	APC2	APC2, WNT signaling pathway regulator
217251_x_at	0.0166891	1.08e-04	-3.9270379	1.07347	-0.41885732		
204562_at	0.0166891	1.09e-04	-3.9247359	1.06545	-0.3860967	IRF4	interferon regulatory factor 4
217179_x_at	0.0166891	1.09e-04	-3.9237421	1.06199	-0.78340546	BMS1P20	BMS1, ribosome biogenesis factor pseudogene 20
201421_s_at	0.0166891	1.09e-04	-3.9232083	1.06013	-0.26231187	WDR77	WD repeat domain 77
201575_at	0.0168999	1.11e-04	3.9182877	1.04302	0.22868437	SNW1	SNW domain containing 1
219019_at	0.0172066	1.15e-04	3.9114947	1.01942	0.59186199	PIDD1	p53-induced death domain protein 1
201699_at	0.0172066	1.16e-04	3.9079701	1.00718	0.25945297	PSMC6	proteasome 26S subunit, ATPase 6
203714_s_at	0.0172066	1.16e-04	3.9077455	1.00641	0.2822264	TBCE	tubulin folding cofactor E
222182_s_at	0.0172066	1.17e-04	3.9068849	1.00342	0.28570823	CNOT2	CCR4-NOT transcription complex subunit 2
210214_s_at	0.0172622	1.21e-04	-3.8984762	0.97429	-0.28650603	BMPR2	bone morphogenetic protein receptor type 2
201558_at	0.0172622	1.21e-04	3.8984283	0.97412	0.30223194	RAE1	ribonucleic acid export 1
214005_at	0.0172622	1.21e-04	3.8976053	0.97127	0.2635149	GGCX	gamma-glutamyl carboxylase
213550_s_at	0.0172622	1.21e-04	3.8971582	0.96973	0.49730805	TMCO6///IK	transmembrane and coiled-coil domains 6///IK cytokine, down-regulator of HLA II
204009_s_at	0.0172622	1.23e-04	3.8934615	0.95694	0.24842329	KRAS	KRAS proto-oncogene, GTPase
216640_s_at	0.0172622	1.23e-04	-3.8934192	0.95679	-0.35161751	PDIA6	protein disulfide isomerase family A member 6
209846_s_at	0.0172622	1.23e-04	-3.8925796	0.95389	-0.4862096	BTN3A2	butyrophilin subfamily 3 member A2
202713_s_at	0.0172622	1.24e-04	3.8908287	0.94784	0.23605854	KIAA0391///PSMA6	KIAA0391///proteasome subunit alpha 6
201369_s_at	0.0172622	1.24e-04	-3.8906856	0.94735	-0.45432705	ZFP36L2	ZFP36 ring finger protein like 2
211645_x_at	0.0172622	1.25e-04	-3.8893388	0.94269	-1.24450128		
200726_at	0.0172622	1.25e-04	3.8881225	0.93849	0.18590405	PPP1CC	protein phosphatase 1 catalytic subunit gamma
201914_s_at	0.0175613	1.28e-04	-3.882155	0.9179	-0.28327403	SEC63	SEC63 homolog, protein translocation regulator
211643_x_at	0.0178106	1.31e-04	-3.8769255	0.89988	-0.81194907	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
212977_at	0.0178106	1.32e-04	3.8754223	0.8947	0.4541554	ACKR3	atypical chemokine receptor 3
213558_at	0.0179368	1.34e-04	3.8712425	0.88032	0.52880392	PCLO	piccolo presynaptic cytomatrix protein
219053_s_at	0.0179368	1.34e-04	3.8705222	0.87784	0.30621161	VPS37C	VPS37C, ESCRT-I subunit
202001_s_at	0.0181323	1.37e-04	3.8662083	0.86301	0.28280803	NDUFA6	NADH:ubiquinone oxidoreductase subunit A6
200628_s_at	0.018147	1.38e-04	-3.8643483	0.85662	-0.71871084	WARS	tryptophanyl-tRNA synthetase
211733_x_at	0.018147	1.38e-04	3.8629597	0.85186	0.25529431	SCP2	sterol carrier protein 2
209593_s_at	0.0181933	1.40e-04	3.8607972	0.84443	0.20504	TOR1B	torsin family 1 member B
217480_x_at	0.0181965	1.41e-04	-3.8583066	0.83589	-0.68034911	IGKV1OR2-118	immunoglobulin kappa variable 1/OR2-118 (pseudogene)
221230_s_at	0.0181965	1.42e-04	3.8558616	0.82751	0.24908403	ARID4B	AT-rich interaction domain 4B
211251_x_at	0.0181965	1.43e-04	-3.8548993	0.82421	-0.27841093	NFYC	nuclear transcription factor Y subunit gamma
208071_s_at	0.0181965	1.43e-04	-3.8548047	0.82389	-0.51428173	LAIR1	leukocyte associated immunoglobulin like receptor 1
204838_s_at	0.0186419	1.47e-04	3.8466982	0.79613	0.28824617	MLH3	mutL homolog 3
216491_x_at	0.0186419	1.48e-04	-3.8456473	0.79254	-1.29216308	IGHM	immunoglobulin heavy constant mu
217239_x_at	0.0188356	1.51e-04	-3.8411864	0.77729	-0.7528425	LOC101930405	uncharacterized LOC101930405
210667_s_at	0.0188356	1.52e-04	-3.8396916	0.77219	-0.33143489	C21orf33	chromosome 21 open reading frame 33
212994_at	0.0188356	1.53e-04	-3.8375055	0.76473	-0.24498737	THOC2	THO complex 2
208594_x_at	0.0188356	1.53e-04	-3.8366667	0.76186	-0.35053465	LILRA6	leukocyte immunoglobulin like receptor A6
221742_at	0.0188356	1.54e-04	-3.8357891	0.75887	-0.23675799	CELF1	CUGBP, Elav-like family member 1
209024_s_at	0.0195095	1.60e-04	-3.8251073	0.72248	-0.414961	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein
203565_s_at	0.0195095	1.61e-04	3.8235042	0.71702	0.36936908	MNAT1	MNAT1, CDK activating kinase assembly factor
205807_s_at	0.0195095	1.62e-04	3.821692	0.71086	0.34203548	TUFT1	tuftelin 1
214992_s_at	0.0195095	1.63e-04	-3.8210659	0.70873	-0.4601075	DNASE2	deoxyribonuclease 2, lysosomal
201664_at	0.0198562	1.67e-04	3.8145639	0.68664	0.30316216	SMC4	structural maintenance of chromosomes 4
203050_at	0.0198562	1.68e-04	3.8137227	0.68379	0.24297342	TP53BP1	tumor protein p53 binding protein 1
208885_at	0.0199204	1.70e-04	-3.8103055	0.67219	-0.44544061	LCP1	lymphocyte cytosolic protein 1
200917_s_at	0.0199204	1.70e-04	-3.8101369	0.67162	-0.72693175	SRPRA	SRP receptor alpha subunit
221432_s_at	0.0200454	1.72e-04	-3.806407	0.65898	-0.42103161	SLC25A28	solute carrier family 25 member 28
216037_x_at	0.0200454	1.73e-04	-3.8057887	0.65688	-0.27558415	TCF7L2	transcription factor 7 like 2
217826_s_at	0.0200788	1.74e-04	-3.8040056	0.65084	-0.35356774	UBE2J1	ubiquitin conjugating enzyme E2 J1
213761_at	0.0201117	1.76e-04	3.8012656	0.64157	0.26064671	MDM1	Mdm1 nuclear protein
208306_x_at	0.0201117	1.77e-04	-3.7997459	0.63643	-0.43012734	HLA-DRB1	major histocompatibility complex, class II, DR beta 1
204589_at	0.0201117	1.78e-04	3.7985386	0.63235	0.47311142	NUAK1	NUAK family kinase 1
219478_at	0.0201117	1.78e-04	3.7977394	0.62964	0.65101814	WFDC1	WAP four-disulfide core domain 1
218241_at	0.0201117	1.79e-04	3.7969213	0.62688	0.21800834	GOLGA5	golgin A5
320_at	0.0203879	1.82e-04	-3.7916063	0.60892	-0.32143322	PEX6	peroxisomal biogenesis factor 6
202226_s_at	0.0203879	1.85e-04	-3.7880654	0.59697	-0.61888672	CRK	CRK proto-oncogene, adaptor protein
217161_x_at	0.0203879	1.86e-04	-3.7868973	0.59303	-0.49580471	ACAN	aggrecan
41329_at	0.0203879	1.86e-04	3.7868874	0.593	0.32801329	SCYL3	SCY1 like pseudokinase 3
211799_x_at	0.0203879	1.86e-04	-3.7868603	0.59291	-0.55411619	HLA-C	major histocompatibility complex, class I, C
221706_s_at	0.0204511	1.87e-04	-3.7847701	0.58586	-0.29024454	USE1	unconventional SNARE in the ER 1
221193_s_at	0.0205321	1.89e-04	3.7824589	0.57807	0.29918144	ZCCHC10	zinc finger CCHC-type containing 10
208843_s_at	0.020615	1.91e-04	3.7789118	0.56613	0.2324814	GORASP2	golgi reassembly stacking protein 2
216560_x_at	0.020615	1.92e-04	-3.778756	0.5656	-1.27832864	IGLC1	immunoglobulin lambda constant 1
221286_s_at	0.020615	1.92e-04	-3.7776081	0.56174	-1.10115985	MZB1	marginal zone B and B1 cell specific protein
220126_at	0.020804	1.95e-04	-3.7739646	0.54948	-0.63131763	PRSS50	protease, serine 50
208765_s_at	0.0209478	1.97e-04	-3.7709116	0.53922	-0.31768093	HNRNPR	heterogeneous nuclear ribonucleoprotein R
212993_at	0.021131	2.01e-04	3.7659118	0.52244	0.33852097	NACC2	NACC family member 2
203692_s_at	0.021131	2.02e-04	-3.7654893	0.52102	-0.33136058	E2F3	E2F transcription factor 3
200937_s_at	0.021131	2.02e-04	-3.7649106	0.51908	-0.21987819	RPL5///SNORD21	ribosomal protein L5///small nucleolar RNA, C/D box 21
212587_s_at	0.0211656	2.05e-04	-3.7606624	0.50483	-0.58855838	PTPRC	protein tyrosine phosphatase, receptor type C
